사용 가능 API,Method,Entry Point,Description,상태,텍스트
No,GET,/,"메인 페이지 조회 ",시작 전,
No,GET,/books/{isbn},도서 상세 정보 조회,시작 전,
No,GET,/books/popular?q={,많이 읽힌 도서 목록 조회(월간/주간/스테디),시작 전,
No,GET,/books/search?q={…}," 도서 검색",시작 전,
No,POST,/books/{isbn}/review,도서 리뷰 생성,시작 전,
No,PATCH,/books/{isbn}/review/{reviewId},도서 리뷰 수정,시작 전,
No,DELETE,/books/{isbn}/review/{reviewId},도서 리뷰 삭제,시작 전,
No,POST,/books/{isbn}/likes,좋아요 생성/취소(토글),시작 전,
No,GET,/books/author/{authorId},작가 상세 정보 조회,시작 전,
