Entry Point,Description,Method,사용 가능 API,상태,텍스트
/bookviews/{isbn}/highlights/{highlightId},특정 도서 하이라이트 삭제,DELETE,No,시작 전,
/bookviews/{isbn},특정 도서 하이라이트 생성,POST,No,시작 전,
/bookviews/{isbn},특정 도서 스트림,GET,No,시작 전,
